Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90,Coordinate 91,Coordinate 92,Coordinate 93,Coordinate 94,Coordinate 95,Coordinate 96,Coordinate 97,Coordinate 98,Coordinate 99,Coordinate 100,Coordinate 101,Coordinate 102,Coordinate 103,Coordinate 104,Coordinate 105,Coordinate 106,Coordinate 107,Coordinate 108,Coordinate 109,Coordinate 110,Coordinate 111,Coordinate 112,Coordinate 113,Coordinate 114,Coordinate 115,Coordinate 116,Coordinate 117,Coordinate 118,Coordinate 119,Coordinate 120,Coordinate 121,Coordinate 122,Coordinate 123,Coordinate 124,Coordinate 125,Coordinate 126,Coordinate 127,Coordinate 128,Coordinate 129,Coordinate 130,Coordinate 131,Coordinate 132,Coordinate 133,Coordinate 134,Coordinate 135,Coordinate 136,Coordinate 137,Coordinate 138,Coordinate 139,Coordinate 140,Coordinate 141,Coordinate 142,Coordinate 143,Coordinate 144
4,397,256,397,254,396,255,396,254,396,255,396,255,396,254,396,254,396,253,396,253,396,252,396,253,395,253,396,254,397,253,397,252,398,253,398,252,398,251,397,251,397,252,397,252,397,252,398,252,397,253,397,253,397,253,398,253,397,252,398,253,398,252,397,251,398,252,397,252,397,251,397,251,396,251,396,250,395,251,394,251,393,252,394,252,395,251,395,251,395,250,394,251,394,250,394,249,394,249,394,250,394,251,394,251,394,252,394,252,394,252,394,252,393,251,393,251,393,252,392,252,392,252,392,253,391,253,391,254,391,254,391,254,391,254,391,253,390,253,391,253,391,253,391,253
61,335,334,335,333,335,333,335,333,334,334,334,334,334,334,335,334,335,333,334,332,334,332,333,332,334,333,334,334,336,335,336,333,337,333,335,333,335,334,335,334,335,334,335,334,334,334,333,333,333,333,333,333,334,332,334,333,334,332,335,332,335,331,332,329,331,330,332,329,331,329,330,329,330,329,329,330,329,329,329,331,330,331,329,331,330,330,331,329,330,328,330,329,329,328,330,328,330,329,330,328,329,329,330,329,330,330,331,330,331,330,331,330,330,330,330,330,330,330,329,330,330,331,330,331,329,332,329,332,329,332,329,332,329,332,329,332,329,331,329,331,329,332,330,332
146,341,341,340,341,340,341,340,341,340,342,340,342,340,342,340,341,340,340,340,340,340,340,339,341,339,341,339,344,341,344,341,343,341,343,340,343,340,344,340,344,340,344,340,344,339,344,338,345,338,345,338,346,339,344,339,345,339,344,340,344,340,342,338,340,337,341,337,340,337,339,336,339,336,340,335,340,335,340,335,341,336,340,335,341,336,340,337,338,336,338,336,338,335,337,336,337,336,338,335,337,335,338,335,338,336,338,336,339,336,339,336,339,336,339,336,339,336,338,335,339,336,339,335,340,335,340,335,340,335,340,335,340,335,340,335,340,334,340,334,340,335,340,335,340
91,349,349,349,348,348,349,348,349,348,350,348,350,348,350,348,349,348,348,348,348,348,348,347,349,347,350,347,353,349,353,349,352,349,353,348,354,348,354,348,354,347,354,347,354,347,355,346,356,346,357,346,358,347,356,347,358,347,355,348,355,348,352,346,352,345,352,346,351,345,350,345,350,345,350,344,350,343,350,343,351,344,350,343,351,344,350,345,348,344,348,344,346,343,346,344,346,344,347,343,346,343,347,344,347,344,347,344,348,345,348,344,347,344,348,344,347,344,347,343,348,344,348,343,348,343,349,343,349,343,349,343,349,343,349,343,348,342,349,343,349,343,348,343,348
181,361,358,361,357,360,358,360,358,360,359,360,359,360,359,360,358,360,357,360,357,360,357,359,359,359,360,359,363,361,363,360,362,361,363,360,365,360,365,359,365,359,365,359,365,358,366,358,368,358,369,358,371,359,369,359,370,359,368,360,367,360,363,358,363,358,364,358,362,358,361,358,360,357,361,357,361,356,361,355,362,356,361,355,361,356,361,357,359,357,358,357,356,356,355,357,356,356,357,356,356,356,357,356,357,357,357,357,357,357,358,357,357,356,358,357,357,356,356,356,358,356,358,355,358,355,358,355,359,355,359,355,359,355,359,355,358,355,358,355,358,355,358,355,357
84,376,364,377,363,376,364,376,364,376,365,376,365,376,364,376,364,376,362,376,363,376,362,375,365,375,366,374,370,376,370,376,369,376,370,376,372,376,373,376,372,375,372,375,372,375,373,375,376,375,377,375,379,375,377,376,378,375,375,376,374,376,371,375,371,375,371,375,369,374,368,374,368,374,368,373,368,373,368,372,369,372,368,372,368,373,367,374,365,373,364,373,362,372,362,373,363,372,363,372,362,372,364,372,364,372,363,373,364,373,365,373,363,372,364,373,363,372,363,372,364,372,364,371,364,371,365,371,365,371,365,371,365,371,365,371,364,371,365,371,364,371,364,371,363
17,394,365,395,364,395,365,395,366,395,366,395,366,394,366,395,365,394,364,395,364,394,364,394,367,393,368,393,372,395,371,395,371,395,372,395,373,395,374,395,374,395,374,395,374,395,375,395,378,396,378,396,381,396,378,396,380,396,377,396,376,396,372,395,373,395,373,395,371,394,370,394,369,394,369,394,369,393,370,392,371,392,369,392,370,393,369,393,367,393,366,392,363,392,363,392,364,392,365,391,364,391,366,391,365,391,365,392,366,392,366,392,365,392,366,391,365,391,364,391,366,391,366,390,366,390,366,390,366,390,367,390,367,390,366,390,365,389,366,390,366,389,366,390,365
314,412,362,413,362,412,363,413,363,412,363,412,363,412,363,412,363,412,361,412,361,412,361,412,364,411,365,412,369,413,368,413,368,413,369,413,370,414,371,413,370,413,371,413,371,413,371,414,374,415,375,415,377,415,374,416,376,415,373,415,372,414,369,414,369,414,370,414,367,413,366,413,366,413,366,413,366,412,366,411,367,410,366,410,367,411,366,412,364,412,363,411,360,410,360,411,361,410,362,409,361,410,363,410,363,410,362,410,363,410,363,410,362,410,363,410,362,409,362,409,363,409,363,408,363,408,364,408,364,408,364,408,364,408,364,408,363,407,363,408,363,408,363,408,362
405,426,355,427,355,426,356,427,356,427,356,426,356,426,356,427,356,426,354,426,354,426,354,426,357,426,358,426,361,427,361,427,360,427,360,428,362,428,363,427,362,427,362,427,362,427,363,428,365,429,365,430,367,429,365,430,367,429,364,429,363,429,360,428,360,428,361,429,359,428,358,428,358,428,358,427,358,427,358,425,359,425,358,425,358,426,358,426,356,427,355,426,353,425,353,425,354,425,354,424,354,425,355,424,355,424,355,424,355,425,356,424,355,424,356,424,355,424,355,424,356,423,356,423,356,422,357,422,357,423,357,423,357,423,356,422,356,422,356,422,356,422,356,422,355
321,436,346,437,345,436,346,437,346,437,346,436,346,436,346,437,346,436,345,437,345,436,345,436,347,436,347,436,350,436,350,436,349,437,349,437,350,437,351,437,350,437,351,436,350,437,351,438,352,438,352,439,353,439,352,439,353,438,351,438,351,438,348,438,348,438,349,439,346,438,346,438,346,438,346,438,346,437,346,435,347,435,346,435,347,436,346,436,345,437,344,436,343,435,342,435,343,435,344,434,344,435,345,435,345,435,345,435,345,435,345,435,345,435,345,435,345,434,344,434,346,434,345,433,346,433,347,433,347,433,347,433,346,433,346,433,346,433,346,433,346,433,346,433,346
